distance,elapsed_time,highest_elevation,lowest_elevation,moving_time,total_elevation_gain
21760.0,6468,222.9,140.9,4171,134.9
12317.6,2381,256.0,187.3,2182,301.7
15481.1,3730,211.7,140.9,2937,118.4
12305.4,2204,255.2,189.8,1912,282.5
36113.3,9655,257.6,167.0,6782,245.5
20866.6,5276,279.6,216.4,4662,447.8
34762.8,6891,256.0,167.0,6229,267.0
37256.9,15100,289.6,104.3,11879,476.1
11105.7,1866,191.2,144.3,1790,46.5
12296.0,2059,191.2,144.6,1842,46.3
12330.0,2341,191.2,144.6,1897,0.0
12415.3,2165,191.2,144.6,2071,46.3
12255.8,1956,235.0,192.3,1635,130.8
127915.0,35740,321.5,99.9,24671,892.7
12319.7,2482,191.3,144.6,2034,46.3
12251.9,1899,191.3,144.6,1722,46.4
12276.4,2111,237.5,186.5,1699,271.6
16889.8,3763,311.9,140.9,3172,222.6
12235.8,1995,241.0,186.0,1721,136.8
15435.6,2811,219.8,140.9,2719,132.7
12260.2,2631,191.3,144.6,1746,0.0
66958.8,19646,422.8,180.2,14072,764.8
38153.9,9925,398.0,181.0,9132,670.7
16793.9,3645,311.9,140.9,3281,222.7
12299.1,2170,241.8,188.8,1748,236.6
15835.7,2793,218.1,140.9,2676,133.1
12270.5,2068,191.2,144.6,1692,0.0
16827.8,3590,311.9,140.9,3144,222.7
15398.2,2766,217.4,140.9,2658,132.6
12314.9,1945,191.5,144.7,1609,0.0
16731.4,3630,233.7,140.9,3426,147.7
12280.8,2103,191.2,144.6,1817,0.0
63342.4,25825,636.0,133.0,17472,1157.6
15392.9,2679,211.7,140.9,2639,118.4
12259.0,1884,243.0,188.8,1725,179.6
12742.4,3859,197.1,180.2,2241,32.2
15466.7,3434,211.7,140.9,2807,118.4
12231.5,1742,256.0,190.2,1576,170.1
15557.4,3847,211.7,140.9,2606,118.4
12238.0,2009,191.3,144.6,1786,0.0
15432.9,3342,211.7,140.9,2772,118.6
12289.1,2060,191.7,144.6,1689,0.0
15376.8,2854,211.7,140.9,2686,118.6
12265.6,2094,238.0,187.1,1798,231.8
15394.7,4127,211.7,140.9,2866,118.4
12240.9,2138,236.6,184.3,1766,149.5
15379.5,2877,211.7,140.9,2757,118.5
12243.2,2053,238.0,185.3,1809,201.9
34557.8,10862,398.0,181.0,8927,543.9
10825.0,2704,211.7,181.0,2109,100.8
16778.5,5151,212.0,140.9,3089,128.9
12266.9,2136,191.2,144.6,1833,0.0
15439.2,3523,211.7,140.9,2739,118.5
12293.2,2297,236.9,189.7,1857,232.0
67514.5,14891,486.4,181.0,13440,853.4
95540.6,22818,323.0,140.0,17475,838.1
15340.1,2740,265.0,195.0,2577,353.7
12245.6,2206,238.1,187.3,1759,125.6
16547.0,3151,225.6,140.9,3000,143.0
12274.1,2198,238.2,189.8,1945,223.5
15380.7,2737,211.7,140.9,2591,118.5
12257.2,2110,247.9,191.0,1805,209.4
15352.4,2885,211.7,140.9,2785,118.4
12272.5,2268,235.7,189.1,1788,178.8
15591.1,3092,211.7,140.9,2961,118.5
12251.3,2045,236.8,186.3,1871,183.1
15446.8,2968,211.7,140.9,2781,118.8
12265.5,2212,238.0,180.4,1889,170.4
115153.0,26579,321.5,99.9,21551,910.3
90032.7,20663,395.0,126.6,16582,714.2
58931.4,12602,422.8,181.0,10978,656.7
76481.1,16905,191.4,102.9,13051,176.2
18723.6,3321,227.3,140.9,3151,133.8
12312.7,1857,238.4,187.3,1616,236.6
18054.5,3127,227.3,140.9,2974,134.1
12289.6,2195,235.9,192.1,1685,154.9
18074.3,3480,227.3,140.9,3042,133.9
12324.1,2037,191.9,144.6,1711,0.0
18068.5,3146,281.0,188.0,2981,493.0
12277.6,2204,238.3,187.0,1777,136.8
25685.8,5816,239.4,180.5,4960,169.8
12285.0,2297,191.2,144.6,1949,0.0
15364.6,3253,211.7,140.9,2806,118.3
12259.8,2210,191.3,144.6,1918,0.0
15388.8,3130,211.7,140.9,2920,118.6
12277.4,2250,191.2,144.6,1980,0.0
16356.3,3658,211.7,140.9,3114,128.6
12521.5,2942,191.2,144.6,2279,0.0
15444.5,4825,211.7,140.9,3157,118.6
12242.9,2193,191.2,144.6,1808,0.0
15468.3,3267,211.7,140.9,3078,118.6
12345.1,2677,191.2,144.6,2110,0.0
15520.6,4178,211.7,140.9,3033,118.6
15425.1,3218,211.7,140.9,2877,118.5
15505.5,3458,211.7,140.9,2975,118.4
15515.9,3627,211.7,140.9,3162,118.6
15506.2,3292,211.7,140.9,3019,62.6
12375.9,2263,191.4,144.6,2030,0.0
12356.2,2285,235.7,180.1,2068,247.7
12315.6,2324,191.2,144.6,2135,0.0
12386.0,2726,191.2,144.6,2438,0.0
15461.7,4084,211.7,140.9,2909,118.6
12340.1,2520,191.2,144.6,2149,0.0
12355.9,2462,191.3,144.6,1999,0.0
15464.1,3019,211.7,140.9,2848,118.5
12386.1,2585,235.8,187.0,1946,171.9
61739.5,20404,232.4,132.3,12416,337.0
31759.6,9608,398.0,181.0,8513,476.2
19922.4,5120,350.6,181.0,4304,209.9
15395.7,3145,211.7,140.9,2958,118.4
12347.8,2079,192.3,144.6,1964,0.0
15536.9,3625,211.7,140.9,3021,118.6
12291.7,2032,192.3,144.6,1851,0.0
15394.4,3157,211.7,140.9,3046,118.6
12308.9,2016,192.2,144.6,1843,0.0
15373.6,2908,211.7,140.9,2821,118.4
12296.5,2512,192.4,144.6,2160,47.2
12329.8,2128,192.4,144.6,2084,0.0
12330.2,2109,192.4,144.6,2036,0.0
15408.6,2944,217.6,140.9,2746,125.9
12382.0,2098,191.4,145.0,1881,11.4
12420.6,2224,191.3,145.0,2043,57.7
12339.6,2023,191.3,145.0,1846,57.6
13702.2,2393,192.1,145.0,2187,58.1
28056.3,4818,258.0,175.6,4798,147.0
25001.3,3659,206.4,143.6,3630,47.0
28068.4,4506,225.4,145.0,4463,149.0
24987.6,3749,186.6,121.4,3357,43.0
28157.8,4140,232.0,154.2,4124,152.0
25044.0,3532,208.4,143.8,3504,41.0
14886.9,4908,330.4,190.8,2994,246.0
28066.6,4753,241.0,162.2,4753,145.0
25666.8,3687,209.8,0.0,3656,41.0
19380.4,2640,220.8,160.6,2565,111.0
25042.6,4130,192.8,126.8,3581,50.0
28203.4,4424,233.6,154.4,4424,160.0
25006.3,3464,224.2,159.4,3428,41.0
28156.5,4368,275.0,196.0,4350,157.0
24104.6,3226,257.4,197.8,3157,36.0
28154.4,4845,277.0,194.6,4813,156.0
25035.7,3678,229.0,167.6,3598,46.0
14404.4,2006,204.0,155.4,1890,73.0
97005.7,9651,224.2,94.2,9651,615.8
14203.7,1752,171.2,124.8,1752,32.0
22593.7,5108,212.2,141.2,4172,163.0
13646.0,2239,151.6,131.6,2221,25.0
28484.4,4093,192.2,126.6,4033,46.0
19390.3,3410,220.2,161.6,3347,117.0
25025.9,3620,205.0,140.6,3523,40.0
